"SummaryType","Category","Count","TotalDelta","Action"
"BY_PRIORITY","Critical","3829","-94748795.17","Immediate review required"
"BY_PRIORITY","High","272","640197","Review within 1 week"
"BY_PRIORITY","Medium","3066","4220671","Review within 2 weeks"
"BY_PRIORITY","Low/OK","536","1377482","Monitor only"
"BY_CATEGORY","MRP_BLIND_SPOT","3392","-88532606.17",""
"BY_CATEGORY","POTENTIAL_OVERSTOCK","2881","6941841",""
"BY_CATEGORY","ALIGNED","536","1377482",""
"BY_CATEGORY","UNDER_PLANNED","894","-8297162",""
"TOP_PROBLEM_ITEMS","108363-20_M / 2026-03","1","-4500000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_M / 2025-12","1","-3000000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_M / 2026-07","1","-2326000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_M / 2026-09","1","-2289000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_WR / 2026-06","1","-2065402","MRP covers less than 50% of supplier schedule. Review demand source, BOM explosion, or horizon settings."
"TOP_PROBLEM_ITEMS","108363-20_M / 2026-05","1","-2022400","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_M / 2026-08","1","-1926600","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_M / 2026-02","1","-1900000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_N / 2025-12","1","-1500000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_N / 2026-03","1","-1500000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_M / 2026-06","1","-1491000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","5559104 / 2026-10","1","-1204110","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_WR / 2026-09","1","-1200000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_WR / 2026-10","1","-1200000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_WR / 2026-08","1","-1200000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_N / 2026-04","1","1150859","MRP plans 1150859 but no supplier schedule. Verify if demand is real or if supplier release is missing."
"TOP_PROBLEM_ITEMS","108363-20_TS / 2026-08","1","-1000000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_TS / 2026-11","1","-1000000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_TS / 2026-09","1","-1000000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
"TOP_PROBLEM_ITEMS","108363-20_TS / 2026-10","1","-1000000","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?"
